4294A REV1.11
"DATE:     52 -100"


"MEASURE PARAMETER: IMPEDANCE MAG PHASE (DEG)"
"ADAPTER: 7mm"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 801"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  500 mVolt"
"DC BIAS: OFF"
"BW: 5"
"SWEEP AVERAGING: 16"
"POINT AVERAGING: 4"


"TRACE: A"
"FORMAT: LOG"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
2.55000000000e+04	1.088817e+03	0.000000e+00
2.55077330000e+04	1.087328e+03	0.000000e+00
2.55154680000e+04	1.085819e+03	0.000000e+00
2.55232060000e+04	1.084317e+03	0.000000e+00
2.55309450000e+04	1.082777e+03	0.000000e+00
2.55386880000e+04	1.081247e+03	0.000000e+00
2.55464320000e+04	1.079712e+03	0.000000e+00
2.55541790000e+04	1.078144e+03	0.000000e+00
2.55619280000e+04	1.076541e+03	0.000000e+00
2.55696800000e+04	1.074939e+03	0.000000e+00
2.55774340000e+04	1.073436e+03	0.000000e+00
2.55851900000e+04	1.071865e+03	0.000000e+00
2.55929490000e+04	1.070363e+03	0.000000e+00
2.56007100000e+04	1.068917e+03	0.000000e+00
2.56084730000e+04	1.067295e+03	0.000000e+00
2.56162390000e+04	1.065664e+03	0.000000e+00
2.56240070000e+04	1.064123e+03	0.000000e+00
2.56317770000e+04	1.062653e+03	0.000000e+00
2.56395500000e+04	1.061106e+03	0.000000e+00
2.56473250000e+04	1.059538e+03	0.000000e+00
2.56551030000e+04	1.057990e+03	0.000000e+00
2.56628830000e+04	1.056444e+03	0.000000e+00
2.56706650000e+04	1.054863e+03	0.000000e+00
2.56784490000e+04	1.053278e+03	0.000000e+00
2.56862360000e+04	1.051664e+03	0.000000e+00
2.56940260000e+04	1.050026e+03	0.000000e+00
2.57018170000e+04	1.048229e+03	0.000000e+00
2.57096110000e+04	1.046609e+03	0.000000e+00
2.57174080000e+04	1.045041e+03	0.000000e+00
2.57252070000e+04	1.043359e+03	0.000000e+00
2.57330080000e+04	1.041754e+03	0.000000e+00
2.57408110000e+04	1.040107e+03	0.000000e+00
2.57486170000e+04	1.038488e+03	0.000000e+00
2.57564250000e+04	1.036844e+03	0.000000e+00
2.57642360000e+04	1.035196e+03	0.000000e+00
2.57720490000e+04	1.033526e+03	0.000000e+00
2.57798640000e+04	1.031925e+03	0.000000e+00
2.57876820000e+04	1.030272e+03	0.000000e+00
2.57955020000e+04	1.028572e+03	0.000000e+00
2.58033240000e+04	1.026928e+03	0.000000e+00
2.58111490000e+04	1.025297e+03	0.000000e+00
2.58189760000e+04	1.023590e+03	0.000000e+00
2.58268060000e+04	1.021908e+03	0.000000e+00
2.58346380000e+04	1.020209e+03	0.000000e+00
2.58424720000e+04	1.018532e+03	0.000000e+00
2.58503090000e+04	1.016839e+03	0.000000e+00
2.58581480000e+04	1.015133e+03	0.000000e+00
2.58659890000e+04	1.013418e+03	0.000000e+00
2.58738330000e+04	1.011679e+03	0.000000e+00
2.58816790000e+04	1.009972e+03	0.000000e+00
2.58895280000e+04	1.008228e+03	0.000000e+00
2.58973790000e+04	1.006531e+03	0.000000e+00
2.59052320000e+04	1.004804e+03	0.000000e+00
2.59130880000e+04	1.003052e+03	0.000000e+00
2.59209460000e+04	1.001330e+03	0.000000e+00
2.59288060000e+04	9.995422e+02	0.000000e+00
2.59366690000e+04	9.978023e+02	0.000000e+00
2.59445340000e+04	9.960532e+02	0.000000e+00
2.59524020000e+04	9.942744e+02	0.000000e+00
2.59602720000e+04	9.924886e+02	0.000000e+00
2.59681440000e+04	9.907580e+02	0.000000e+00
2.59760190000e+04	9.889918e+02	0.000000e+00
2.59838960000e+04	9.871565e+02	0.000000e+00
2.59917760000e+04	9.853897e+02	0.000000e+00
2.59996580000e+04	9.835990e+02	0.000000e+00
2.60075420000e+04	9.818143e+02	0.000000e+00
2.60154290000e+04	9.800206e+02	0.000000e+00
2.60233180000e+04	9.782365e+02	0.000000e+00
2.60312100000e+04	9.763838e+02	0.000000e+00
2.60391040000e+04	9.746069e+02	0.000000e+00
2.60470000000e+04	9.727727e+02	0.000000e+00
2.60548990000e+04	9.709872e+02	0.000000e+00
2.60628000000e+04	9.691265e+02	0.000000e+00
2.60707030000e+04	9.672919e+02	0.000000e+00
